,VIV_SEL,P1_1,P1_2,P1_3,P1_4,P1_5_1,P1_5_2,P2_1,P2_2,P2_3,cve_est,cve_mun,Cluster
0,5,2,1,1,1,1,1,4,1,1,1,1,2
1,1,3,1,1,1,1,1,7,1,1,1,1,2
2,3,3,1,1,1,1,1,8,1,1,1,1,2
3,4,3,1,1,1,1,1,5,1,1,1,1,2
4,5,3,1,1,1,1,1,6,1,1,1,1,2
5,2,3,1,1,1,1,1,3,1,1,1,1,2
6,3,3,1,1,1,1,1,3,1,1,1,1,2
7,4,3,1,1,1,1,1,5,1,1,1,1,2
8,5,2,1,1,1,1,1,4,1,1,1,1,2
9,1,2,1,1,1,1,1,5,1,1,1,1,2
10,2,2,1,1,1,2,2,2,1,1,1,1,2
11,3,3,1,1,1,1,1,2,1,1,1,1,2
12,5,2,1,1,1,1,1,8,1,1,1,1,2
13,1,3,1,1,1,1,1,5,1,1,1,1,2
14,2,3,1,1,1,1,1,4,1,1,1,1,2
15,3,3,1,1,1,1,1,5,1,1,1,1,2
16,4,3,1,1,1,1,1,4,1,1,1,1,2
17,5,3,1,1,1,1,1,4,1,1,1,1,2
18,1,3,1,1,1,1,1,4,1,1,1,1,2
19,2,3,1,1,1,1,1,2,1,1,1,1,2
20,3,3,1,1,1,1,1,1,1,1,1,1,2
21,5,3,1,1,1,1,1,4,1,1,1,1,2
22,1,3,1,1,1,1,1,3,1,1,1,1,2
23,2,3,1,1,1,1,1,3,1,1,1,1,2
24,3,3,1,1,1,1,1,3,1,1,1,1,2
25,4,3,1,1,1,1,1,8,1,1,1,1,2
26,5,3,1,1,1,1,1,5,1,1,1,1,2
27,1,3,1,1,1,1,1,5,1,1,1,1,2
28,2,3,1,1,1,1,2,2,1,1,1,1,2
29,3,3,1,1,1,1,2,6,1,1,1,1,2
30,4,3,1,1,1,1,1,4,1,1,1,1,2
31,5,3,1,1,1,1,1,5,1,1,1,1,2
32,1,3,1,1,1,1,1,3,1,1,1,1,2
33,2,3,1,1,1,1,1,2,1,1,1,1,2
34,3,3,1,1,1,1,2,7,1,1,1,1,2
35,4,3,1,1,1,1,1,4,1,1,1,1,2
36,5,3,1,1,1,1,1,3,1,1,1,1,2
37,1,3,1,1,1,1,1,1,1,1,1,1,2
38,2,3,1,1,1,1,1,3,1,1,1,1,2
39,3,3,1,1,1,1,1,2,1,1,1,1,2
40,4,3,1,1,1,1,1,2,1,1,1,1,2
41,5,3,1,1,1,1,1,6,1,1,1,1,2
42,1,3,1,1,1,1,1,4,1,1,1,1,2
43,2,3,1,1,1,1,1,3,1,1,1,1,2
44,3,3,1,1,1,1,2,1,1,1,1,1,2
45,4,3,1,1,1,1,1,4,1,1,1,1,2
46,5,3,1,1,1,1,1,4,1,1,1,1,2
47,1,3,1,1,1,1,2,3,1,1,1,1,2
48,2,3,1,1,1,1,1,3,1,1,1,1,2
49,3,2,1,1,1,1,1,4,1,1,1,1,2
50,4,3,1,1,1,1,1,4,1,1,1,1,2
51,5,3,1,1,1,1,1,2,1,1,1,1,2
52,1,3,1,1,1,1,1,5,1,1,1,1,2
53,2,3,1,1,1,1,1,4,1,1,1,1,2
54,4,3,1,1,1,1,1,3,1,1,1,1,2
55,1,3,1,1,1,1,1,2,1,1,1,1,2
56,3,3,1,1,1,1,1,3,1,1,1,1,2
57,4,3,1,1,1,1,2,2,1,1,1,1,2
58,5,3,1,1,1,1,1,3,1,1,1,1,2
59,1,3,1,1,1,1,1,1,1,1,1,1,2
60,2,3,1,1,1,1,1,3,1,1,1,1,2
61,3,3,1,1,1,1,1,4,1,1,1,1,2
62,4,3,1,1,1,1,1,5,1,1,1,1,2
63,5,3,1,1,1,1,2,1,1,1,1,1,2
64,1,3,1,1,1,1,2,4,1,1,1,1,2
65,2,3,1,1,1,1,1,5,1,1,1,1,2
66,3,3,1,1,1,2,1,3,1,1,1,1,2
67,4,3,1,1,1,1,1,5,1,1,1,1,2
68,1,3,1,1,1,1,1,7,2,2,1,1,2
69,2,2,1,1,1,1,2,9,1,1,1,1,2
70,3,3,1,1,1,2,1,6,1,1,1,1,2
71,4,3,1,1,1,1,1,7,1,1,1,1,2
72,5,2,1,1,1,1,1,5,1,1,1,1,2
73,1,3,1,1,1,1,1,2,1,1,1,1,2
74,2,3,1,1,1,1,1,2,1,1,1,1,2
75,3,3,1,1,1,1,1,2,1,1,1,1,2
76,4,3,1,1,1,1,2,1,1,1,1,1,2
77,2,3,1,1,1,1,1,4,1,1,1,1,2
78,4,3,1,1,1,1,1,6,1,1,1,1,2
79,1,2,1,1,1,1,1,3,1,1,1,1,2
80,2,3,1,1,1,1,1,5,1,1,1,1,2
81,3,3,1,1,1,1,1,5,1,1,1,1,2
82,5,3,1,1,1,1,1,4,1,1,1,1,2
83,1,3,1,1,1,1,1,4,1,1,1,1,2
84,2,3,1,1,1,1,1,4,1,1,1,1,2
85,3,2,1,1,1,1,1,4,1,1,1,1,2
86,4,2,1,1,1,1,1,4,1,1,1,1,2
87,5,3,1,1,1,1,1,6,1,1,1,1,2
88,2,3,1,1,1,1,1,4,1,1,1,1,2
89,3,3,1,1,1,1,1,5,1,1,1,1,2
90,4,2,1,1,1,1,1,7,1,1,1,1,2
91,5,3,1,1,1,1,1,2,1,1,1,1,2
92,1,3,1,1,1,1,1,3,1,1,1,1,2
93,2,2,1,1,1,1,1,6,1,1,1,1,2
94,3,3,1,1,1,1,1,5,1,1,1,1,2
95,5,3,1,1,1,1,1,5,1,1,1,1,2
96,1,2,1,1,1,1,2,5,1,1,1,1,2
97,2,2,1,1,1,1,1,2,1,1,1,1,2
98,4,3,1,1,1,1,1,2,1,1,1,1,2
99,5,3,1,1,1,1,1,2,1,1,1,1,2
100,1,3,1,1,1,1,1,4,1,1,1,1,2
101,2,3,1,1,1,1,1,5,1,1,1,1,2
102,4,3,1,1,1,1,1,1,1,1,1,1,2
103,5,3,1,1,1,1,1,6,1,1,1,1,2
104,4,3,1,1,1,1,1,1,1,1,1,1,2
105,5,3,1,1,1,1,1,4,1,1,1,1,2
106,2,3,1,1,1,1,1,3,1,1,1,1,2
107,3,3,1,1,1,1,1,4,1,1,1,1,2
108,4,3,1,1,1,1,1,4,1,1,1,1,2
109,5,3,1,1,1,1,1,5,1,1,1,1,2
110,1,3,1,1,1,1,1,3,1,1,1,1,2
111,2,3,1,1,1,1,1,5,1,1,1,1,2
112,3,3,1,1,1,1,1,6,1,1,1,1,2
113,4,3,1,1,1,1,1,7,1,1,1,1,2
114,5,3,1,1,1,1,1,3,1,1,1,1,2
115,1,3,1,1,1,1,1,4,1,1,1,1,2
116,2,3,1,1,1,1,1,5,1,1,1,1,2
